Date,Diesel
2022-07-01,1.12
2022-07-02,1.13
2022-07-03,1.14
2022-07-04,1.15
2022-07-05,1.16
2022-07-06,1.17
2022-07-07,1.18
2022-07-08,1.19
2022-07-09,1.2
2022-07-10,1.21
2022-07-11,1.22
2022-07-12,1.23
2022-07-13,1.24
2022-07-14,1.25
2022-07-15,1.26
2022-07-16,1.27
2022-07-17,1.28
2022-07-18,1.29
2022-07-19,1.3
2022-07-20,1.31
2022-07-21,1.32
2022-07-22,1.33
2022-07-23,1.34
2022-07-24,1.35
2022-07-25,1.36
2022-07-26,1.37
2022-07-27,1.38
2022-07-28,1.39
2022-07-29,1.4
2022-07-30,1.41
2022-07-31,1.42
2022-08-01,1.43
2022-08-02,1.44
2022-08-03,1.45
2022-08-04,1.46
2022-08-05,1.47
2022-08-06,1.48
2022-08-07,1.49
2022-08-08,1.5
2022-08-09,1.51
2022-08-10,1.52
2022-08-11,1.53
2022-08-12,1.54
2022-08-13,1.55
2022-08-14,1.56
2022-08-15,1.57
2022-08-16,1.58
2022-08-17,1.59
2022-08-18,1.6
2022-08-19,1.61
2022-08-20,1.62
2022-08-21,1.63
2022-08-22,1.64
2022-08-23,1.65
2022-08-24,1.66
2022-08-25,1.67
2022-08-26,1.68
2022-08-27,1.69
2022-08-28,1.7
2022-08-29,1.71
2022-08-30,1.72
2022-08-31,1.73
2022-09-01,1.74
2022-09-02,1.75
2022-09-03,1.76
2022-09-04,1.77
2022-09-05,1.78
2022-09-06,1.79
2022-09-07,1.8
2022-09-08,1.81
2022-09-09,1.82
2022-09-10,1.83
2022-09-11,1.84
